eta3,n,i,j,z_rest_int,trial_id,kappa_true,kappa_hat,a_true,b_true,cos_a_hat,sin_a_hat,cos_b_hat,sin_b_hat,amp_a,amp_b
0.2,4,0,1,1,1,1.029236884,1.043888394,1.014618442,-0.014618442,0.52734375,0.840820313,0.998046875,-0.033203125,0.992507042,0.998599025
0.2,4,0,1,2,1,0.970763116,0.968113289,-0.014618442,-0.985381558,1,-0.022460938,0.553710938,-0.844726563,1.000252215,1.010029093
0.2,4,0,1,3,1,0.824336646,0.818692272,-0.087831677,-0.912168323,0.9921875,-0.067382813,0.635742188,-0.779296875,0.994472965,1.005719518
0.2,4,2,3,0,1,1,1.016537571,1.05122506,0.05122506,0.5,0.865234375,1,0.030273438,0.999315027,1.000458136
0.2,4,2,3,1,1,1,0.975782755,0.94877494,-0.05122506,0.608398438,0.798828125,0.995117188,-0.055664063,1.004128992,0.996672817
0.2,4,2,3,2,1,1,1.021813124,-0.05122506,-1.05122506,0.998046875,-0.028320313,0.4921875,-0.858398438,0.998448599,0.989493008
0.2,4,2,3,3,1,1,1.020667989,0.05122506,-0.94877494,1,0.044921875,0.5625,-0.831054688,1.001008479,1.003522867
0.2,4,0,1,0,2,1.175663354,1.171457968,1.087831677,-0.087831677,0.487304688,0.90625,0.994140625,-0.09375,1.028958173,0.998551273
0.2,4,0,1,1,2,1.029236884,1.023546391,1.014618442,-0.014618442,0.517578125,0.845703125,1,-0.001953125,0.991514443,1.000001907
0.2,4,0,1,2,2,0.970763116,0.978617004,-0.014618442,-0.985381558,1,-0.00390625,0.555664063,-0.833007813,1.000007629,1.001331397
0.2,4,0,1,3,2,0.824336646,0.80703141,-0.087831677,-0.912168323,0.998046875,-0.092773438,0.62109375,-0.782226563,1.002349478,0.998817221
0.2,4,2,3,0,2,1,1.019569619,1.05122506,0.05122506,0.500976563,0.8671875,0.999023438,0.02734375,1.001494721,0.999397573
0.2,4,2,3,1,2,1,0.990998351,0.94877494,-0.05122506,0.592773438,0.784179688,0.997070313,-0.067382813,0.983014817,0.999344611
