run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_161159,0.2,4,2,3,13,4,0.999894198,0.000105802,0.973213433,0.985599943,0.971012858,2048
20260111_161159,0.2,4,2,3,14,4,0.999840912,0.000159088,0.991253556,0.991654524,0.977294474,2048
20260111_161159,0.2,4,2,3,15,4,0.999603438,0.000396562,0.995426872,0.993031383,0.982439357,2048
20260111_161159,0.2,4,2,3,16,4,0.999687764,0.000312236,1.014688467,0.995583275,0.989249582,2048
20260111_161159,0.2,4,2,3,17,4,0.999901341,9.87E-05,1.020245813,0.998368403,0.994140599,2048
20260111_161159,0.2,4,2,3,18,4,0.999999619,3.81E-07,0.999727685,0.994526751,0.987057078,2048
20260111_161159,0.2,4,2,3,19,4,0.999826216,0.000173784,0.99205681,0.993916656,0.985712625,2048
20260111_161147,0.2,5,0,1,0,8,0.992114993,0.007885007,0.998567429,0.993983422,0.983472412,2048
20260111_161147,0.2,5,0,1,1,8,0.992199958,0.007800042,1.00520348,0.996453576,0.992310815,2048
20260111_161147,0.2,5,0,1,2,8,0.992773625,0.007226375,0.99277319,0.994424647,0.988556192,2048
20260111_161147,0.2,5,0,1,3,8,0.991840627,0.008159373,0.980635859,0.996315972,0.988067235,2048
20260111_161147,0.2,5,0,1,4,8,0.99159004,0.00840996,0.998725999,0.99511038,0.987222198,2048
20260111_161147,0.2,5,0,1,5,8,0.993016547,0.006983453,1.024695635,0.994631736,0.985005361,2048
20260111_161147,0.2,5,0,1,6,8,0.991084995,0.008915005,1.012816716,0.992582809,0.979055938,2048
20260111_161147,0.2,5,0,1,7,8,0.993278597,0.006721403,1.01290931,0.991820936,0.982879805,2048
20260111_161147,0.2,5,0,1,8,8,0.993079545,0.006920455,0.993734614,0.997432501,0.99152172,2048
20260111_161147,0.2,5,0,1,9,8,0.99133073,0.00866927,1.003053848,0.996340519,0.988279189,2048
20260111_161147,0.2,5,0,1,10,8,0.992082706,0.007917294,1.008667146,0.99278052,0.983164258,2048
20260111_161147,0.2,5,0,1,11,8,0.991465664,0.008534336,0.997989646,0.991116388,0.984036655,2048
20260111_161147,0.2,5,0,1,12,8,0.993084017,0.006915983,0.988746118,0.995256474,0.984339555,2048
20260111_161147,0.2,5,0,1,13,8,0.989897112,0.010102888,1.006564032,0.990064511,0.978013709,2048
20260111_161147,0.2,5,0,1,14,8,0.992559169,0.007440831,0.982626437,0.9913939,0.973190965,2048
20260111_161147,0.2,5,0,1,15,8,0.991132656,0.008867344,0.997262549,0.994047948,0.978169831,2048
20260111_161147,0.2,5,0,1,16,8,0.992445302,0.007554698,1.006291341,0.995078692,0.985263826,2048
20260111_161147,0.2,5,0,1,17,8,0.991102021,0.008897979,0.989160374,0.997326015,0.990284888,2048
20260111_161147,0.2,5,0,1,18,8,0.991038005,0.008961995,0.9973045,0.991779238,0.980798445,2048
20260111_161147,0.2,5,0,1,19,8,0.993424792,0.006575208,1.000006452,0.994833745,0.982257717,2048
20260111_161147,0.2,5,2,3,0,8,0.999738787,0.000261213,0.998295085,0.992282164,0.973762988,2048
20260111_161147,0.2,5,2,3,1,8,0.999705366,0.000294634,1.012473787,0.989079035,0.971904413,2048
20260111_161147,0.2,5,2,3,2,8,0.999631391,0.000368609,1.005061965,0.993948208,0.982040019,2048
20260111_161147,0.2,5,2,3,3,8,0.999442649,0.000557351,1.01012556,0.994135001,0.988989514,2048
20260111_161147,0.2,5,2,3,4,8,0.999931342,6.87E-05,1.012125283,0.992642022,0.983454813,2048
20260111_161147,0.2,5,2,3,5,8,0.999383828,0.000616172,1.008812499,0.993711194,0.980697613,2048
20260111_161147,0.2,5,2,3,6,8,0.999691232,0.000308768,1.001138312,0.992183602,0.982697384,2048
20260111_161147,0.2,5,2,3,7,8,0.999612686,0.000387314,0.982790737,0.999021923,0.99777624,2048
20260111_161147,0.2,5,2,3,8,8,0.999492916,0.000507084,0.973766249,0.994622201,0.980650064,2048
20260111_161147,0.2,5,2,3,9,8,0.999830924,0.000169076,0.977583445,0.99204288,0.982362313,2048
20260111_161147,0.2,5,2,3,10,8,0.999638276,0.000361724,1.006343882,0.997039105,0.989508643,2048
20260111_161147,0.2,5,2,3,11,8,0.999869348,0.000130652,0.990338857,0.987779837,0.976056734,2048
20260111_161147,0.2,5,2,3,12,8,0.999759601,0.000240399,0.997025188,0.994716395,0.985100644,2048
20260111_161147,0.2,5,2,3,13,8,0.999520229,0.000479771,0.990163177,0.992227523,0.974261926,2048
20260111_161147,0.2,5,2,3,14,8,0.999695661,0.000304339,1.001089682,0.993814376,0.986093648,2048
20260111_161147,0.2,5,2,3,15,8,0.999297397,0.000702603,0.994893823,0.992507476,0.984389332,2048
20260111_161147,0.2,5,2,3,16,8,0.999432188,0.000567812,0.99953656,0.996138627,0.988495986,2048
20260111_161147,0.2,5,2,3,17,8,0.99967055,0.00032945,1.00712221,0.995429094,0.982750423,2048
20260111_161147,0.2,5,2,3,18,8,0.999361902,0.000638098,1.005682378,0.994302555,0.984036452,2048
